 Time, r, x_out
0.000000, 0.000000, 1.000000
0.010000, 0.010000, 0.999950
0.020000, 0.020000, 0.999800
0.030000, 0.030000, 0.999550
0.040000, 0.040000, 0.999200
0.050000, 0.050000, 0.998750
0.060000, 0.060000, 0.998201
0.070000, 0.070000, 0.997551
0.080000, 0.080000, 0.996802
0.090000, 0.090000, 0.995953
0.100000, 0.100000, 0.995004
0.110000, 0.110000, 0.993956
0.120000, 0.120000, 0.992809
0.130000, 0.130000, 0.991562
0.140000, 0.140000, 0.990216
0.150000, 0.150000, 0.988771
0.160000, 0.160000, 0.987227
0.170000, 0.170000, 0.985585
0.180000, 0.180000, 0.983844
0.190000, 0.190000, 0.982004
0.200000, 0.200000, 0.980067
0.210000, 0.210000, 0.978031
0.220000, 0.220000, 0.975897
0.230000, 0.230000, 0.973666
0.240000, 0.240000, 0.971338
0.250000, 0.250000, 0.968912
0.260000, 0.260000, 0.966390
0.270000, 0.270000, 0.963771
0.280000, 0.280000, 0.961055
0.290000, 0.290000, 0.958244
0.300000, 0.300000, 0.955336
0.310000, 0.310000, 0.952334
0.320000, 0.320000, 0.949235
0.330000, 0.330000, 0.946042
0.340000, 0.340000, 0.942755
0.350000, 0.350000, 0.939373
0.360000, 0.360000, 0.935897
0.370000, 0.370000, 0.932327
0.380000, 0.380000, 0.928665
0.390000, 0.390000, 0.924909
0.400000, 0.400000, 0.921061
0.410000, 0.410000, 0.917121
0.420000, 0.420000, 0.913089
0.430000, 0.430000, 0.908966
0.440000, 0.440000, 0.904752
0.450000, 0.450000, 0.900447
0.460000, 0.460000, 0.896052
0.470000, 0.470000, 0.891568
0.480000, 0.480000, 0.886995
0.490000, 0.490000, 0.882333
0.500000, 0.500000, 0.877583
0.510000, 0.510000, 0.872745
0.520000, 0.520000, 0.867819
0.530000, 0.530000, 0.862807
0.540000, 0.540000, 0.857709
0.550000, 0.550000, 0.852525
0.560000, 0.560000, 0.847255
0.570000, 0.570000, 0.841901
0.580000, 0.580000, 0.836463
0.590000, 0.590000, 0.830941
0.600000, 0.600000, 0.825336
0.610000, 0.610000, 0.819648
0.620000, 0.620000, 0.813878
0.630000, 0.630000, 0.808028
0.640000, 0.640000, 0.802096
0.650000, 0.650000, 0.796084
0.660000, 0.660000, 0.789992
0.670000, 0.670000, 0.783822
0.680000, 0.680000, 0.777573
0.690000, 0.690000, 0.771246
0.700000, 0.700000, 0.764842
0.710000, 0.710000, 0.758362
0.720000, 0.720000, 0.751806
0.730000, 0.730000, 0.745174
0.740000, 0.740000, 0.738469
0.750000, 0.750000, 0.731689
0.760000, 0.760000, 0.724836
0.770000, 0.770000, 0.717911
0.780000, 0.780000, 0.710914
0.790000, 0.790000, 0.703845
0.800000, 0.800000, 0.696707
0.810000, 0.810000, 0.689498
0.820000, 0.820000, 0.682221
0.830000, 0.830000, 0.674876
0.840000, 0.840000, 0.667463
0.850000, 0.850000, 0.659983
0.860000, 0.860000, 0.652437
0.870000, 0.870000, 0.644827
0.880000, 0.880000, 0.637151
0.890000, 0.890000, 0.629412
